Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:50:31,,,866,6,1384,136,5805,22,0,0,0,-39.0,1553561431257,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:51:31,,,866,436,3800,280,5805,22,0,0,0,-42.0,1553561491233,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:52:31,,,866,436,176,40,5805,22,0,0,0,-40.0,1553561551268,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:53:31,,,866,866,512,40,5805,22,0,0,0,-43.0,1553561611237,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:54:31,,,866,436,344,32,5805,22,0,0,0,-41.0,1553561671258,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:55:31,,,866,436,168,24,5805,22,0,0,0,-41.0,1553561731231,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:56:31,,,866,436,520,64,5805,22,0,0,0,-41.0,1553561791268,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:57:31,,,866,866,872,56,5805,22,0,0,0,-46.0,1553561851230,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:58:31,,,823,436,4592,720,5805,22,0,0,0,-49.0,1553561911270,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 20:59:31,,,780,436,352,24,5805,22,0,0,0,-50.0,1553561971230,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 21:00:31,,,780,866,528,48,5805,22,0,0,0,-50.0,1553562031269,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 21:01:31,,,780,6,344,48,5805,22,0,0,0,-47.0,1553562091229,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 21:02:31,,,780,866,688,96,5805,22,0,0,0,-48.0,1553562151265,04:bf:6d:5e:11:79,Synchro_SON
40:4e:36:93:bc:1f,04:bf:6d:5e:11:7b,5.0,2019-03-25 21:03:31,,,823,866,528,80,5805,22,0,0,0,-48.0,1553562211229,04:bf:6d:5e:11:79,Synchro_SON
